username,password,user_id,ip,user_agent,device_type,login_timestamp,login_success,is_attack_ip
zach,M350OF5qrV,7032247427121824919,10.73.181.46,,mobile,2020-02-03 12:44:41.712,True,False
aaron,LcURZKEcMc,-4324475583306591935,10.176.104.86,,mobile,2020-02-03 12:44:42.020,False,False
bella,zUUmZwy8E2,8933718300941485415,10.167.27.24,,desktop,2020-02-03 12:44:43.653,True,False
caleb,dj5X1d8vwi,-4324475583306591935,10.189.187.169,,desktop,2020-02-03 12:44:44.504,False,False
denise,VnG4Tzs2y2,-6902636637841323511,10.238.136.92,,mobile,2020-02-03 12:44:45.486,True,False
ella,pK0A4DL592,1808131893419673157,10.15.91.174,,mobile,2020-02-03 12:44:45.931,True,False
felix,FMfCcFvNcq,2053665694442615172,10.210.150.20,,desktop,2020-02-03 12:44:46.039,True,False
gavin,IfMih3zt2w,-4324475583306591935,10.12.45.43,,desktop,2020-02-03 12:44:46.803,False,False
hazel,UCoIcOepyo,-6933726760150666774,10.166.126.99,,desktop,2020-02-03 12:44:47.708,True,False
isaac,K0hEX05bE5,-4324475583306591935,10.71.100.150,,mobile,2020-02-03 12:44:49.045,False,False
jade,32BvCkFoem,2700661740967503994,10.156.240.240,,mobile,2020-02-03 12:44:49.820,True,False
kyle,SRCjMTTCql,-5377627992963732557,10.99.108.153,,mobile,2020-02-03 12:44:50.690,True,False
leah,fHpyUvCHfp,3974716234969525862,10.43.81.9,,mobile,2020-02-03 12:44:51.871,False,False
mason,LXhunQsQsr,-5325831348226591597,10.81.237.106,,desktop,2020-02-03 12:44:55.458,True,False
maya,99vXFrmohs,8842350825513962051,10.144.194.207,,desktop,2020-02-03 12:44:56.760,True,False
noah,AzRSOnFSq4,7468171978220268329,10.64.96.251,,desktop,2020-02-03 12:44:56.794,True,False
olivia,ieDeY48DT0,-7004878831669814705,10.91.242.107,,mobile,2020-02-03 12:44:57.260,True,False
peter,11w81vFolY,1461328825928099664,10.157.194.180,,desktop,2020-02-03 12:44:58.433,True,False
queenie,hpng5crk9b,-2120778761353587807,10.59.68.141,,mobile,2020-02-03 12:45:00.179,True,False
riley,E8HZ6SxtjK,4537402287908478266,10.230.156.129,,desktop,2020-02-03 12:45:04.512,True,False
sophie,Qbu0T4T9kN,-4324475583306591935,10.177.175.37,,mobile,2020-02-03 12:45:04.595,False,False
trent,FwUJ4P6Wnv,-4324475583306591935,10.42.228.200,,mobile,2020-02-03 12:45:05.332,False,False
ursula,NYmv3jd5MM,-4324475583306591935,10.73.137.117,,mobile,2020-02-03 12:45:06.634,False,False
violet,iIkn5qYsYj,-1855733646723088893,10.183.88.46,,desktop,2020-02-03 12:45:07.192,True,False
wyatt,atgeZai5Vg,-4324475583306591935,10.222.65.215,,mobile,2020-02-03 12:45:09.598,False,False
xena,sJo08ij2Ke,-4324475583306591935,10.152.20.207,,mobile,2020-02-03 12:45:10.595,False,False
yara,6I7LhIM7c3,5024543460394389650,10.23.57.149,,tablet,2020-02-03 12:45:11.594,False,False
zane,7r7lwfoYuh,-3522288621475838107,10.161.196.12,,mobile,2020-02-03 12:45:13.655,True,True
adrian,lIA5naRwd7,-4324475583306591935,10.51.112.185,,mobile,2020-02-03 12:45:14.062,False,False
bianca,ePUheuOxLS,-3462464486015037335,10.151.178.15,,desktop,2020-02-03 12:45:14.166,True,False
cody,vcoCuTTjxb,-4324475583306591935,10.191.187.197,,desktop,2020-02-03 12:45:14.276,False,False
delia,iyooPsIEn3,-4324475583306591935,10.29.24.198,,mobile,2020-02-03 12:45:14.341,False,False
eli,OBVrYa1F0v,-4324475583306591935,10.12.117.96,,tablet,2020-02-03 12:45:14.577,False,False
gia,EDyr2o3J7Y,-4324475583306591935,10.63.11.23,,desktop,2020-02-03 12:45:14.781,False,False
howard,oWJ3PdADaK,6266523720835090155,10.179.178.172,,mobile,2020-02-03 12:45:14.847,True,False
ivy,1G44kfhUH4,-6623218066566818248,10.11.4.118,,desktop,2020-02-03 12:45:16.478,False,True
jonah,Josxnbam2G,-4324475583306591935,10.235.249.63,,desktop,2020-02-03 12:45:17.541,False,False
kira,pSUv1jci4d,6012968830009558513,10.1.118.150,,desktop,2020-02-03 12:45:19.044,True,False
liam,kPcvT0kL55,-4324475583306591935,10.3.191.100,,mobile,2020-02-03 12:45:19.800,False,False
molly,TzwR8oQ4pA,-4324475583306591935,10.112.122.104,,desktop,2020-02-03 12:45:20.126,False,False
nathan,T2HM9wx05g,7772383794730447911,10.143.203.208,,desktop,2020-02-03 12:45:20.249,True,False
opal,hvtFgSzTz1,-5119561110035137043,10.196.31.99,,mobile,2020-02-03 12:45:20.489,True,False
parker,Ld6yxRwTjH,-4324475583306591935,10.176.181.53,,mobile,2020-02-03 12:45:20.769,False,False
quinn,BJFbJ25Yx5,-646286484908980500,10.233.0.82,,desktop,2020-02-03 12:45:21.407,True,False
rosa,nLzBeESK7E,-4042666480512222492,10.93.245.91,,desktop,2020-02-03 12:45:22.376,True,False
scott,MucFoAyCLm,8061175448807217409,10.95.251.255,,mobile,2020-02-03 12:45:23.012,False,False
tara,sqaWHXmRRv,8440999894799235798,10.229.14.13,,desktop,2020-02-03 12:45:24.176,True,False
ulrich,h3U1e2Q4uv,8764711203771772726,10.152.108.101,,desktop,2020-02-03 12:45:24.571,False,False
valerie,dpAooBoGzG,-4324475583306591935,10.105.197.162,,mobile,2020-02-03 12:45:24.970,False,False
will,0QHbDSclIT,-788402486175802559,10.167.23.1,,desktop,2020-02-03 12:45:25.189,False,False
ximena,S4GX31ZZYy,-6194631656554022418,10.74.19.37,,mobile,2020-02-03 12:45:25.406,False,False
yusuf,5uygnha5QI,9006020809380285912,10.19.29.146,,tablet,2020-02-03 12:45:25.711,True,False
zara,W2NyZe1R93,-3932430406974740396,10.215.123.28,,desktop,2020-02-03 12:45:27.003,False,False
amber,OfgxaOaROv,-2589058955263908090,10.214.179.177,,mobile,2020-02-03 12:45:27.220,True,False
blake,yar96fYo4x,4143539177090066832,10.201.89.10,,desktop,2020-02-03 12:45:27.760,True,False
clara,dX71VbAclZ,-4324475583306591935,10.87.158.146,,mobile,2020-02-03 12:45:30.207,False,True
damien,nwxmN2GIKd,-4324475583306591935,10.105.180.2,,mobile,2020-02-03 12:45:30.262,False,False
erin,4DvVwWd5FS,7306452618183652251,10.152.217.176,,mobile,2020-02-03 12:45:31.196,True,False
frank,0ErIPFNGU9,-4324475583306591935,10.43.197.113,,mobile,2020-02-03 12:45:31.574,False,False
greta,hQCKnB4qNn,4623843153163490379,10.198.109.60,,mobile,2020-02-03 12:45:31.639,True,False
holden,6VPEst1LeF,-743197602148197842,10.62.205.226,,desktop,2020-02-03 12:45:32.762,True,False
iris,SGrJvD8RXM,468520388944820224,10.27.192.189,,mobile,2020-02-03 12:45:33.000,True,False
jasper,F6qNuEIdXo,1546264236839049294,10.101.117.202,,mobile,2020-02-03 12:45:35.586,False,False
kelsey,3YaKUi2sgZ,2070019838044638021,10.185.160.231,,desktop,2020-02-03 12:45:36.275,True,False
lucas,t8VrPJYK96,494498063301351016,10.222.155.18,,mobile,2020-02-03 12:45:36.408,True,True
megan,YrTJ622LMd,-5624233190124404205,10.163.236.48,,mobile,2020-02-03 12:45:36.619,False,False
nolan,KU55YeK6ew,-4324475583306591935,10.82.143.161,,mobile,2020-02-03 12:45:37.330,False,False
odette,BhgOjZf4zq,-4324475583306591935,10.76.199.147,,desktop,2020-02-03 12:45:37.664,False,False
preston,MzRqs4hoHD,4591982038228621819,10.213.5.30,,desktop,2020-02-03 12:45:38.190,True,False
quincy,i6nRvEcSxN,-6371055462132919787,10.208.125.9,,desktop,2020-02-03 12:45:40.137,True,False
rowan,r2twQke2BI,-4324475583306591935,10.63.41.215,,desktop,2020-02-03 12:45:40.891,False,False
selina,41rJCMniGE,-3243978724802435038,10.28.200.112,,mobile,2020-02-03 12:45:42.267,True,False
theo,gC3GH7v1A4,1157723024977671065,10.235.75.161,,desktop,2020-02-03 12:45:43.086,True,False
una,3xVeCJrZ1Z,384960314630332325,10.156.147.74,,mobile,2020-02-03 12:45:44.363,False,False
vera,VjhjzPQ6hv,-5006346617080104030,10.251.215.54,,mobile,2020-02-03 12:45:44.604,True,False
alice2,hnbP18Ptke,-2276797880714445902,10.24.118.148,,desktop,2020-02-03 12:45:44.845,True,False
bob2,uSZscfgW2L,4951686470319280436,10.203.127.98,,mobile,2020-02-03 12:45:46.930,True,False
charlie2,Yn1wzNN01r,-4324475583306591935,10.222.35.4,,mobile,2020-02-03 12:45:49.936,False,False
diana2,eG2MdBddZ1,-4324475583306591935,10.117.39.118,,mobile,2020-02-03 12:45:51.693,False,False
ethan2,d3NxfhtOPa,5964583212859152975,10.135.254.147,,mobile,2020-02-03 12:45:51.790,True,False
fiona2,ucgDAybpuh,-3039733741736875978,10.173.198.230,,desktop,2020-02-03 12:45:52.292,True,False
george2,SOBwVd3QH1,5846199633857118460,10.167.123.102,,desktop,2020-02-03 12:45:52.976,True,False
hannah2,IRiPUpLNNv,6314025633321143258,10.115.7.157,,desktop,2020-02-03 12:45:53.257,True,False
ian2,WoXEtVFH2E,-5076624984569379766,10.135.224.238,,mobile,2020-02-03 12:45:53.556,True,False
julia2,0xruociDb4,-4978871870858398136,10.215.5.88,,mobile,2020-02-03 12:45:53.799,False,False
kevin2,cihXxGWY50,-4324475583306591935,10.63.253.234,,desktop,2020-02-03 12:45:54.519,False,False
laura2,iStxolyZxe,-4324475583306591935,10.183.246.181,,mobile,2020-02-03 12:45:54.931,False,True
michael2,C2DNnRIAxM,-3834378694156817472,10.47.131.96,,desktop,2020-02-03 12:45:55.512,True,False
nina2,21Q1kfFd17,2928780311232121527,10.229.158.124,,mobile,2020-02-03 12:45:56.280,True,False
oliver2,euhnMCqlsO,-4324475583306591935,10.88.0.118,,mobile,2020-02-03 12:45:56.814,False,False
paula2,WCwTLqwK57,-4324475583306591935,10.130.93.190,,mobile,2020-02-03 12:45:57.017,False,False
quentin2,7Fn3tvCGDc,-4324475583306591935,10.226.219.199,,mobile,2020-02-03 12:45:57.359,False,False
rachel2,I4h2bbySk5,-6470985135933369664,10.60.156.119,,desktop,2020-02-03 12:46:00.287,True,False
simon2,CZO6S1ot1s,8284988368705894903,10.205.173.125,,mobile,2020-02-03 12:46:00.915,False,False
tina2,St5jlduuXG,-9052890347630561957,10.58.181.105,,desktop,2020-02-03 12:46:01.370,True,False
uma2,px2kaS0Rrm,-4324475583306591935,10.40.234.19,,mobile,2020-02-03 12:46:02.118,False,False
victor2,m7BVnDwyIz,-4324475583306591935,10.21.164.203,,desktop,2020-02-03 12:46:02.320,False,False
wendy2,P3z8VAlpba,-7601074745732737655,10.100.245.92,,desktop,2020-02-03 12:46:02.382,True,False
xavier2,puWbzOkepy,9133470655600090013,10.206.64.140,,mobile,2020-02-03 12:46:02.611,True,True
yvonne2,xapsFBtYoV,-4324475583306591935,10.187.138.11,,mobile,2020-02-03 12:46:04.793,False,False
zach2,ogKwvQzugv,-1529329621006445729,10.126.138.39,,desktop,2020-02-03 12:46:08.184,True,False
aaron2,s6e7lAoiap,-8296667206273764769,10.247.101.71,,mobile,2020-02-03 12:46:08.490,True,False
bella2,e2ejQnqhXC,-8763889222839735043,10.40.183.21,,mobile,2020-02-03 12:46:08.585,True,False
caleb2,tLJ4ghka5Z,-7213673431379261759,10.59.188.235,,mobile,2020-02-03 12:46:09.076,True,False
denise2,hhlNyTAO7D,9133470655600090013,10.66.184.25,,mobile,2020-02-03 12:46:09.450,True,True
ella2,2zVYc4czQr,-4324475583306591935,10.158.61.83,,mobile,2020-02-03 12:46:10.402,False,False
felix2,YK8iDnAb8K,-4324475583306591935,10.20.232.13,,mobile,2020-02-03 12:46:10.596,False,False
gavin2,XbqI9Vzh2E,-4324475583306591935,10.114.248.208,,mobile,2020-02-03 12:46:11.502,False,False
hazel2,RCrBwEYjU2,-2884707261019834916,10.190.234.41,,mobile,2020-02-03 12:46:11.766,True,False
isaac2,mEGs39K8vU,7602581389187572315,10.85.110.180,,desktop,2020-02-03 12:46:12.036,False,False
jade2,G5AaeKmCQI,-4324475583306591935,10.253.174.22,,mobile,2020-02-03 12:46:12.794,False,False
kyle2,TQpmwmGgTc,-1637771190244172085,10.1.85.69,,desktop,2020-02-03 12:46:13.164,True,False
leah2,D0yuO6BNWC,-4324475583306591935,10.75.98.7,,desktop,2020-02-03 12:46:14.425,False,False
mason2,M8VgUmiM1D,5441761163636275581,10.132.166.200,,mobile,2020-02-03 12:46:15.365,True,False
maya2,7Y6MXce1HM,-4324475583306591935,10.140.127.83,,mobile,2020-02-03 12:46:16.162,False,False
noah2,KQY2lW6lR3,872753422282915290,10.206.35.125,,mobile,2020-02-03 12:46:16.708,True,False
olivia2,NL9NWoerwZ,8803412028776782669,10.41.144.190,,desktop,2020-02-03 12:46:17.453,True,False
peter2,T43dZYVYiD,-4324475583306591935,10.120.147.142,,mobile,2020-02-03 12:46:18.187,False,False
queenie2,JURtvTSq84,-6858668454045204117,10.169.68.185,,mobile,2020-02-03 12:46:19.082,True,False
riley2,VmXVXSyiVM,-4324475583306591935,10.245.249.12,,mobile,2020-02-03 12:46:21.666,False,False
sophie2,EUPy3p2zBw,-6623218066566818248,10.184.158.79,,mobile,2020-02-03 12:46:21.715,False,False
trent2,cpoxC7sj7L,-4324475583306591935,10.51.54.105,,mobile,2020-02-03 12:46:22.240,False,False
ursula2,SgZ4CA6c8V,3694963235000057241,10.194.163.19,,desktop,2020-02-03 12:46:22.834,True,False
violet2,cZ36EoNnZt,-4109565914294573827,10.183.14.33,,mobile,2020-02-03 12:46:25.172,False,False
wyatt2,ShsWOE0GWF,-4324475583306591935,10.11.18.228,,desktop,2020-02-03 12:46:25.327,False,False
xena2,qgHXEWAHef,-4324475583306591935,10.122.30.137,,mobile,2020-02-03 12:46:25.828,False,False
yara2,GWcgPg3Q9D,-5661548610851782974,10.67.16.211,,desktop,2020-02-03 12:46:27.251,True,False
zane2,p7gROaX2rq,4469900120953033346,10.220.70.154,,desktop,2020-02-03 12:46:27.900,False,False
adrian2,hGEJ75dLth,-6013405163444858768,10.195.194.135,,desktop,2020-02-03 12:46:28.235,True,False
bianca2,TViFB0DDJ5,-4324475583306591935,10.84.100.173,,mobile,2020-02-03 12:46:28.472,False,False
cody2,XDX3g109AM,8507939562248430166,10.127.46.183,,desktop,2020-02-03 12:46:28.517,True,False
delia2,9Dygbxz6E3,-1861537202867857590,10.216.6.16,,desktop,2020-02-03 12:46:28.676,True,False
eli2,u6qSAvdzcU,-3925834486711939292,10.254.247.63,,desktop,2020-02-03 12:46:29.053,True,False
gia2,CJL35gX3tR,-4324475583306591935,10.82.30.27,,desktop,2020-02-03 12:46:29.235,False,False
howard2,OdvFo047oP,-1654552122825228024,10.184.49.134,,mobile,2020-02-03 12:46:29.923,False,False
ivy2,28qsIYMcYJ,-4324475583306591935,10.242.37.102,,mobile,2020-02-03 12:46:31.235,False,True
jonah2,nfYAicyMRT,5729679535281970107,10.108.237.191,,mobile,2020-02-03 12:46:31.536,True,False
kira2,BEW1SGGbWG,-4324475583306591935,10.68.224.190,,mobile,2020-02-03 12:46:31.556,False,False
liam2,iy3iE0XeBU,5665314851597757022,10.72.2.154,,desktop,2020-02-03 12:46:31.557,False,False
molly2,sZerH6ynAO,-4324475583306591935,10.161.84.206,,mobile,2020-02-03 12:46:31.804,False,False
nathan2,ZHm96hg1Pz,-7186611336348770705,10.86.116.234,,mobile,2020-02-03 12:46:32.018,True,False
opal2,ztQifyiPHD,5310188069909202118,10.12.60.254,,mobile,2020-02-03 12:46:32.984,True,False
parker2,LXczXXB0g6,-4324366418444169831,10.149.175.55,,mobile,2020-02-03 12:46:33.432,True,False
quinn2,wpWhDsyp3V,7976666381127728729,10.196.132.243,,mobile,2020-02-03 12:46:34.485,False,False
rosa2,EBEpxfg5K2,-880058954312831348,10.144.229.62,,desktop,2020-02-03 12:46:34.801,True,False
scott2,R4d97VyHoZ,-4324475583306591935,10.205.60.50,,desktop,2020-02-03 12:46:35.014,False,False
tara2,Kk22e1SNy5,-5948885619446578664,10.96.60.220,,desktop,2020-02-03 12:46:36.960,True,False
ulrich2,JTAp8JYs4a,-8590619365850694939,10.49.202.107,,desktop,2020-02-03 12:46:37.866,True,False
valerie2,fXCcyaV69M,-8795157060353066531,10.249.139.15,,mobile,2020-02-03 12:46:38.210,True,False
will2,N3K9rDgbCC,-6313992626413475687,10.172.13.76,,desktop,2020-02-03 12:46:39.204,True,False
ximena2,08UGSoj18R,-7186611336348770705,10.134.37.3,,mobile,2020-02-03 12:46:40.007,True,False
yusuf2,n7Dzn5WGiL,-3815770403819138944,10.17.66.26,,desktop,2020-02-03 12:46:42.387,True,False
zara2,7HeoYsAyuA,-4324475583306591935,10.29.190.200,,mobile,2020-02-03 12:46:42.887,False,False
amber2,ougDro1Md3,-4324475583306591935,10.58.249.186,,mobile,2020-02-03 12:46:44.067,False,False
blake2,qZR9v0ykg0,-4324475583306591935,10.184.162.161,,desktop,2020-02-03 12:46:44.935,False,True
clara2,qjsIkZoltT,-4324475583306591935,10.164.100.203,,desktop,2020-02-03 12:46:45.099,False,True
damien2,DGeW9c48F1,-4070440288362566553,10.100.42.135,,desktop,2020-02-03 12:46:45.841,True,False
erin2,m9yNxSikOY,4623843153163490379,10.19.216.163,,mobile,2020-02-03 12:46:46.633,False,False
frank2,8tqPWS3iAf,3694963235000057241,10.191.239.223,,mobile,2020-02-03 12:46:46.687,True,False
greta2,ljdxbvzu7d,6707578704991311866,10.47.105.123,,desktop,2020-02-03 12:46:47.201,True,False
holden2,A0RJrFLxgg,-2587998168390371777,10.102.17.171,,mobile,2020-02-03 12:46:48.339,True,False
iris2,raEQDQaXQi,4877657656180742257,10.169.72.52,,mobile,2020-02-03 12:46:50.655,True,False
jasper2,6gAENsVAp4,-4324475583306591935,10.148.156.147,,desktop,2020-02-03 12:46:50.775,False,False
kelsey2,da8Ti6AxMN,-2813893830045066102,10.148.95.248,,mobile,2020-02-03 12:46:51.304,True,False
lucas2,igADFdIJKT,3052819108003179192,10.49.184.71,,mobile,2020-02-03 12:46:51.941,True,False
megan2,dXsLokzuha,-4324475583306591935,10.100.203.7,,mobile,2020-02-03 12:46:51.992,False,False
nolan2,FETgWzZiG7,-4324475583306591935,10.17.81.23,,mobile,2020-02-03 12:46:52.527,False,False
odette2,8XcC83Os92,-4324475583306591935,10.159.31.148,,mobile,2020-02-03 12:46:52.905,False,False
preston2,hSyPr6c9qq,-4324475583306591935,10.9.50.120,,mobile,2020-02-03 12:46:53.403,False,False
quincy2,X4Ua2dndDR,-4324475583306591935,10.219.248.49,,desktop,2020-02-03 12:46:53.560,False,False
rowan2,AroxmJdHM0,-7315447538951216988,10.54.45.9,,desktop,2020-02-03 12:46:53.916,True,False
selina2,TRgHws2PIO,9187119392009558735,10.239.162.221,,desktop,2020-02-03 12:46:55.455,True,False
theo2,wpuOBRpcAG,-4324475583306591935,10.169.187.249,,mobile,2020-02-03 12:46:55.742,False,False
una2,veOp5cs8Fw,-4324475583306591935,10.155.106.170,,desktop,2020-02-03 12:46:56.187,False,False
vera2,GEe13Fy2Jc,-1384931203020736667,10.163.62.161,,desktop,2020-02-03 12:46:59.693,True,False
